educure_db=# SELECT * FROM employees;

 employee_id |    name     |   department   | salary | hire_date  | manager_id |    name_kana
-------------+-------------+----------------+--------+------------+------------+-----------------
        5673 | 高田 太郎   | 営業           |  55000 | 2019-06-15 |            | たかだ たろう
        5674 | 田村 花子   | マーケティング |  62000 | 2021-03-22 |        101 | たむら はなこ
        5675 | 鈴木 次郎   | IT             |  48000 | 2020-11-01 |        102 | すずき じろう
        5676 | 田中 一郎   | 開発           |  70000 | 2018-09-10 |            | たなか いちろう
        5677 | 高橋 美咲   | マーケティング |  53000 | 2020-01-05 |        103 | たかはし みさき
        5678 | 佐藤 高志   | 人事           |  45000 | 2022-07-19 |            | さとう たかし
        5679 | 小林 美智子 | 人事           |  48000 | 2023-04-01 |            | こばやし みちこ
        5680 | 田中 次郎   | IT             |  52000 | 2023-05-01 |        104 | たなか じろう
        5681 | 山田 花子   | 営業           |  50000 | 2016-10-01 |        105 | やまだ はなこ
        5682 | 佐々木 次郎 | マーケティング |  48000 | 2017-04-01 |        106 | ささき じろう
